Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,32,349,44,155,591,679,Worcestershire Sauce
Trial 1,32,350,44,154,591,677,Worcestershire Sauce
Trial 1,33,350,45,155,591,678,Worcestershire Sauce
Trial 1,32,350,44,155,591,678,Worcestershire Sauce
Trial 1,32,352,45,156,593,682,Worcestershire Sauce
Trial 1,32,353,44,155,592,679,Worcestershire Sauce
Trial 1,33,351,45,156,591,679,Worcestershire Sauce
Trial 1,33,354,45,156,593,681,Worcestershire Sauce
Trial 1,33,352,44,156,592,678,Worcestershire Sauce
Trial 1,33,355,45,157,593,684,Worcestershire Sauce
Trial 1,33,353,44,156,592,679,Worcestershire Sauce
Trial 1,33,354,45,157,593,680,Worcestershire Sauce
Trial 1,32,352,45,156,592,679,Worcestershire Sauce
Trial 1,33,353,45,157,591,679,Worcestershire Sauce
Trial 1,33,353,44,156,591,679,Worcestershire Sauce
Trial 1,33,354,45,158,595,682,Worcestershire Sauce
Trial 1,34,355,45,157,596,684,Worcestershire Sauce
Trial 1,33,354,45,157,592,680,Worcestershire Sauce
Trial 1,32,354,45,157,593,680,Worcestershire Sauce
Trial 1,33,355,46,158,593,681,Worcestershire Sauce
Trial 1,33,356,47,158,594,681,Worcestershire Sauce
Trial 1,34,357,46,157,594,682,Worcestershire Sauce
Trial 1,34,355,46,158,592,679,Worcestershire Sauce
Trial 1,32,355,45,158,592,679,Worcestershire Sauce
Trial 1,34,357,46,158,593,680,Worcestershire Sauce
Trial 1,33,357,45,159,595,683,Worcestershire Sauce
Trial 1,33,358,46,159,595,684,Worcestershire Sauce
Trial 1,34,356,45,158,593,679,Worcestershire Sauce
Trial 1,33,356,46,158,594,680,Worcestershire Sauce
Trial 1,34,357,46,158,593,681,Worcestershire Sauce
Trial 1,33,358,46,159,594,681,Worcestershire Sauce
Trial 1,33,358,46,160,594,681,Worcestershire Sauce
Trial 1,34,358,46,159,593,680,Worcestershire Sauce
Trial 1,33,360,47,160,596,686,Worcestershire Sauce
Trial 1,33,358,46,160,594,682,Worcestershire Sauce
Trial 1,34,358,46,160,594,681,Worcestershire Sauce
Trial 1,34,360,46,160,594,681,Worcestershire Sauce
Trial 1,33,359,47,160,595,681,Worcestershire Sauce
Trial 1,33,360,46,161,596,685,Worcestershire Sauce
Trial 1,33,359,46,160,595,682,Worcestershire Sauce
Trial 1,34,360,47,161,595,682,Worcestershire Sauce
Trial 1,35,359,46,160,595,681,Worcestershire Sauce
Trial 1,33,361,47,161,597,683,Worcestershire Sauce
Trial 1,34,360,47,160,595,681,Worcestershire Sauce
Trial 1,33,361,48,161,597,684,Worcestershire Sauce
Trial 1,34,361,47,161,596,682,Worcestershire Sauce
Trial 1,34,361,47,161,594,681,Worcestershire Sauce
Trial 1,34,363,47,162,597,684,Worcestershire Sauce
Trial 1,35,363,48,161,599,686,Worcestershire Sauce
Trial 1,33,363,47,161,595,681,Worcestershire Sauce
Trial 1,34,362,47,161,595,681,Worcestershire Sauce
Trial 1,34,361,46,161,596,681,Worcestershire Sauce
Trial 1,35,362,48,162,596,683,Worcestershire Sauce
Trial 1,34,362,47,162,596,683,Worcestershire Sauce
Trial 1,34,365,48,162,598,684,Worcestershire Sauce
Trial 1,34,364,47,162,596,682,Worcestershire Sauce
Trial 1,35,363,48,163,599,686,Worcestershire Sauce
Trial 1,34,365,47,162,598,685,Worcestershire Sauce
Trial 1,34,363,46,162,597,684,Worcestershire Sauce
Trial 1,35,367,49,163,599,684,Worcestershire Sauce
Trial 1,35,365,48,163,597,685,Worcestershire Sauce
Trial 1,34,366,48,163,599,685,Worcestershire Sauce
Trial 1,35,369,48,164,598,686,Worcestershire Sauce
Trial 1,34,366,48,163,597,684,Worcestershire Sauce
Trial 1,34,366,49,163,597,684,Worcestershire Sauce
Trial 1,35,364,48,163,598,684,Worcestershire Sauce
Trial 1,35,366,48,164,597,683,Worcestershire Sauce
Trial 1,35,366,48,163,597,683,Worcestershire Sauce
Trial 1,34,366,48,164,598,684,Worcestershire Sauce
Trial 1,36,369,49,165,599,687,Worcestershire Sauce
Trial 1,35,367,48,165,598,684,Worcestershire Sauce
Trial 1,35,368,48,164,599,686,Worcestershire Sauce
Trial 1,34,368,48,164,599,687,Worcestershire Sauce
Trial 1,34,367,49,164,597,683,Worcestershire Sauce
Trial 1,33,369,49,165,601,687,Worcestershire Sauce
Trial 1,35,369,49,166,600,686,Worcestershire Sauce
Trial 1,35,368,48,164,598,684,Worcestershire Sauce
Trial 1,36,369,49,166,599,686,Worcestershire Sauce
Trial 1,34,368,48,165,599,684,Worcestershire Sauce
Trial 1,34,369,49,166,598,685,Worcestershire Sauce
Trial 1,34,369,49,165,599,689,Worcestershire Sauce
Trial 1,34,370,49,166,600,688,Worcestershire Sauce
Trial 1,35,369,49,165,599,684,Worcestershire Sauce
Trial 1,35,369,48,165,598,684,Worcestershire Sauce
Trial 1,34,370,49,166,599,686,Worcestershire Sauce
Trial 1,35,370,49,166,599,685,Worcestershire Sauce
Trial 1,35,369,48,165,598,685,Worcestershire Sauce
Trial 1,35,370,49,165,599,684,Worcestershire Sauce
Trial 1,35,370,49,166,599,684,Worcestershire Sauce
Trial 1,35,371,50,167,602,687,Worcestershire Sauce
Trial 1,36,372,49,167,601,687,Worcestershire Sauce
Trial 1,35,371,49,167,600,685,Worcestershire Sauce
Trial 1,36,370,49,167,600,685,Worcestershire Sauce
Trial 1,35,371,48,166,598,685,Worcestershire Sauce
Trial 1,36,373,49,168,602,686,Worcestershire Sauce
Trial 1,35,374,49,167,602,687,Worcestershire Sauce
Trial 1,35,373,50,167,600,686,Worcestershire Sauce
Trial 1,35,372,49,167,600,685,Worcestershire Sauce
Trial 1,34,373,49,168,601,686,Worcestershire Sauce
Trial 1,35,373,49,168,600,686,Worcestershire Sauce
Trial 1,35,373,50,167,599,684,Worcestershire Sauce
Trial 1,35,373,50,168,601,686,Worcestershire Sauce
Trial 1,35,375,51,168,603,688,Worcestershire Sauce
Trial 1,35,374,50,167,600,685,Worcestershire Sauce
Trial 1,35,375,51,169,605,690,Worcestershire Sauce
Trial 1,36,375,50,168,601,687,Worcestershire Sauce
Trial 1,36,374,50,168,601,686,Worcestershire Sauce
Trial 1,36,373,51,168,601,686,Worcestershire Sauce
Trial 1,35,376,50,168,602,687,Worcestershire Sauce
Trial 1,36,375,50,169,602,687,Worcestershire Sauce
Trial 1,35,376,50,169,602,687,Worcestershire Sauce
